Detector throughput values
——
Wavelength_microns Throughput
2.0004663860000003 1.7911368754631042e-12
2.002074478 2.5344376991635788e-12
2.00368257 3.3872207023255276e-12
2.005290662 2.891853959468528e-12
2.006898754 2.219181716269822e-12
2.008506846 1.461348755287244e-12
2.010114938 2.2400250647936047e-12
2.01172303 2.7626249579910593e-12
2.013331122 3.1941298893936973e-12
2.014939214 3.248116153140682e-12
2.016547306 3.0833946454723725e-12
2.018155398 2.729718275176398e-12
2.01976349 1.873552074019135e-12
2.021371582 1.0712976837162563e-12
2.022979674 1.3534956740469878e-13
2.0245877660000002 8.518620307802266e-14
2.026195858 2.8148502566051634e-13
2.027803949 4.228357574418601e-13
2.029412041 6.612645863690749e-13
2.031020133 7.514401379685323e-13
2.032628225 4.23278484454443e-13
2.034236317 5.202931756329573e-13
2.035844409 5.69565292015899e-13
2.037452501 5.9117725715628e-13
2.039060593 5.160344162034174e-13
2.040668685 6.313966884774502e-13
2.042276777 7.296552308564941e-13
2.0438848689999998 8.68986076873007e-13
2.045492961 9.049675979971823e-13
2.047101053 9.007229000791312e-13
2.0487091449999997 1.0061548659775294e-12
2.0503172370000002 1.159747153285796e-12
2.0519253290000004 1.3789167890001852e-12
2.053533421 1.7419032760433158e-12
2.055141513 1.7841172704938118e-12
2.056749605 1.7398999475530663e-12
2.058357697 1.2413417722570086e-12
2.059965788 1.0577344300112012e-12
2.06157388 1.282907063071703e-12
2.0631819719999998 2.2488387348221114e-12
2.064790064 3.3900265193534113e-12
2.066398156 3.7534774691450775e-12
2.068006248 3.0299514871667465e-12
2.06961434 1.8730685311325395e-12
2.071222432 7.273842391794449e-13
2.072830524 4.766763561265172e-13
2.074438616 7.015474636863947e-13
2.076046708 1.990714545693001e-12
2.0776548 4.909755410072101e-12
2.079262892 7.109500266988845e-12
2.080870984 8.435168893317907e-12
2.0824790760000003 6.2469376010399e-12
2.084087168 6.047880844783168e-12
2.08569526 4.8819920560831095e-12
2.0873033519999997 4.192372350221456e-12
2.088911444 5.410241689624979e-12
2.090519536 7.971873745279941e-12
2.092127627 1.0547021117561873e-11
2.0937357189999997 1.672148275273269e-11
2.0953438110000002 2.1293047657208028e-11
2.0969519030000003 2.654919557561458e-11
2.098559995 2.9809849637784184e-11
2.100168087 3.512933518996137e-11
2.101776179 3.262810136523502e-11
2.103384271 2.7912788249223503e-11
2.104992363 1.110459257710794e-11
